label,Positive,Negative,Samples ratio above positive threshold,Samples ratio above negative threshold
Sports Car (274),0.0006122949998825788,-0.0005046169389970601,0.02885841764509678,0.024872448295354843
Tabby Cat (174),0.00032696398557163775,-0.00028904221835546196,0.034917090088129044,0.02359693869948387
Maillot (782),0.0014759345212951303,-6.753685738658533e-05,0.03109056130051613,0.018335459753870964
Borzoi (105),0.0007351429085247219,-0.00012640988279599696,0.025988521054387093,0.007334183901548386
Minibus (920),0.00011007246212102473,-0.0007303118472918868,0.021524235606193542,0.042889028787612915
Arctic Fox (159),0.003098985878750682,-7.466741953976452e-05,0.03826530650258064,0.0035076530184596777
Global,0.00144673022441566,-0.0011494550853967667,0.006327168550342321,0.006588329095393419
